epoch,accuracy,loss,val_accuracy,val_loss
0,0.2822639,2.8751076719485527,0.5806791186332703,2.7348153958919332
1,0.64350116,2.584606617334133,0.6741247773170471,2.415039638495188
2,0.6870681,2.2454827784236695,0.6967623233795166,2.0598253735619867
3,0.70385,1.8992886989592879,0.7093971967697144,1.7316645677857225
4,0.72951627,1.5995871236427084,0.732824444770813,1.4658110234636355
5,0.7511023,1.364672243810869,0.7494077682495117,1.265799609539728
6,0.76235604,1.1896310799605911,0.7625690698623657,1.1217469671080695
7,0.7710431,1.0620603652955984,0.7665175199508667,1.0180722345612996
8,0.77795327,0.9694408360379587,0.7696762084960938,0.9439688850528599
9,0.78130966,0.9020546020822879,0.7730981707572937,0.8905043016612201
10,0.7834814,0.8527193470391916,0.774677574634552,0.8513985550789558
11,0.7858506,0.8162838744524867,0.7762569189071655,0.8227651419059702
12,0.7869694,0.7892688616693471,0.7773098349571228,0.8013820951158795
13,0.7882198,0.7689005138215833,0.7780994772911072,0.7853605510153624
14,0.7883514,0.7532559789964814,0.7796788811683655,0.7729395345563354
15,0.7888121,0.741233469295282,0.7796788811683655,0.7634282490710705
16,0.7892728,0.7318627007386527,0.7809950113296509,0.7559291245781079
17,0.7905232,0.7242950441571355,0.7804685235023499,0.7501742359398854
18,0.79039156,0.7183218721340816,0.7809950113296509,0.745162574373819
19,0.79045737,0.7134255859011606,0.7815214395523071,0.7414049345997015
20,0.79157615,0.709371488229269,0.781258225440979,0.738376009068887
21,0.79131293,0.7060430849253563,0.7823111414909363,0.7358085058745223
22,0.7923659,0.7032126277008508,0.781258225440979,0.7339835736776033
23,0.79144454,0.7009190241025051,0.7817846536636353,0.7322258686793418
24,0.79131293,0.6987837413613363,0.7817846536636353,0.7304911098846733
25,0.7917736,0.6970166856970352,0.7817846536636353,0.729244459017417
26,0.791642,0.6954560588009462,0.7817846536636353,0.7280377273529446
27,0.791642,0.6940806899819181,0.7825743556022644,0.727073129116469
28,0.79203683,0.6928539401216309,0.7823111414909363,0.7261115898110735
29,0.7921685,0.6918053854213965,0.7825743556022644,0.7254244373421445
30,0.79144454,0.690806075960996,0.7836272716522217,0.7249268364768243
31,0.791642,0.6899393009331399,0.7833640575408936,0.7241627091983646
32,0.7917078,0.6890957424420203,0.7833640575408936,0.7236403904170794
33,0.7921027,0.6883582237363842,0.7833640575408936,0.7231887376411992
34,0.7918394,0.6876917053971412,0.7831008434295654,0.7228305930839021
35,0.79203683,0.6870291977699119,0.7833640575408936,0.722578369479143
36,0.7924317,0.6865155439582378,0.7833640575408936,0.7222170991061643
37,0.7919052,0.685983673731486,0.7836272716522217,0.7218712745261336
38,0.7928924,0.6854474773333237,0.7838904857635498,0.7214563742817374
39,0.791642,0.6849562478206707,0.7841536998748779,0.7211241851545818
40,0.7927608,0.6844858445121725,0.7838904857635498,0.7209754963710642
41,0.7924317,0.6841186051346747,0.7844169735908508,0.7207161605781742
42,0.7924317,0.6836400482441964,0.7838904857635498,0.7204512676052999
43,0.792695,0.6833095360877052,0.7836272716522217,0.7204170112830772
44,0.7928266,0.6829211276391103,0.7838904857635498,0.7202536096444849
45,0.7930898,0.6826075351171565,0.7844169735908508,0.7199423368681918
46,0.7925633,0.6822497172903254,0.7836272716522217,0.7200077597515682
47,0.7923659,0.6819685457920942,0.7844169735908508,0.7199104860852535
48,0.7924317,0.6815687592973361,0.7841536998748779,0.7199157269793643
49,0.793024,0.6813901419033931,0.7852066159248352,0.7196902964547547
50,0.7928924,0.6810144294912621,0.7849434018135071,0.71943608184462
51,0.7921027,0.6808021105132083,0.7849434018135071,0.719414445844943
52,0.7927608,0.6804940139631489,0.7849434018135071,0.7193415852934789
53,0.7930898,0.6802638988739647,0.7849434018135071,0.7193254317287144
54,0.7924317,0.6800206876185506,0.784680187702179,0.7191384112750207
55,0.7926292,0.6797713281371633,0.7849434018135071,0.7188810586741047
56,0.7927608,0.6795488800450193,0.784680187702179,0.7188462350487113
57,0.7925633,0.6792653094078609,0.7857331037521362,0.7186839765986508
58,0.7924975,0.6790646289908285,0.784680187702179,0.7186942998281621
59,0.79203683,0.6789005841774233,0.7841536998748779,0.7185635323366324
